Lote,"WT-3120NA-1001 (totalizer) [ton]","WT-3120NA-1002 (totalizer) [ton]","WT-3120NA-1001 (Average unbalance [%]","WT-3120NA-1002 (Average unbalance [%]","WT-3120NA-1001 (Average Overload [%]","WT-3120NA-1002 (Average Overload [%]","WT3120NA01 (Belt Scale)[ton]"
243,3875.8,3835.3,1.738054708,1.598456511,2.136131289,1.5913371,7753
244,3742.375,3701.05,3.799004333,3.347048916,0.3413371,-0.214554748,7657
245,3691.225,3634.9,1.946053426,2.103419938,-0.346717783,-1.104385257,7495
246,3637.575,3606.275,2.23560482,2.101628259,-1.068401937,-1.489440409,7214
247,3659.775,3591.825,4.224132664,4.363797616,-0.769774011,-1.683817595,7385
248,3610.775,3589.95,2.815003558,2.75492823,-1.428907721,-1.709039548,7346
249,3629.75,3617.875,1.740034302,1.819294809,-1.173661555,-1.333400592,7341
250,3685.2,3651.8,1.820268622,1.904906959,-0.427764326,-0.877051386,7356
251,3634.525,3607.85,2.02902993,2.262808468,-1.109429648,-1.468253968,7307
252,3729.475,3724.25,2.997916356,1.98641124,0.167810062,0.097524886,7512
253,3854.05,3858.425,1.99027421,1.89179122,1.843556632,1.902407856,7839
254,3728.85,3740.375,3.473797955,3.337434308,0.159402744,0.314433683,7508
255,3837.625,3840.875,1.393862752,1.561693787,1.622612322,1.666330374,7946
256,3706.9,3673.225,1.439467071,1.787220989,-0.135862255,-0.588848534,7561
257,3729.025,3690.7,1.784404521,1.708721078,0.161756793,-0.35377993,7581
258,3687.45,3663,2.791696952,2.48437647,-0.397497982,-0.726392252,7315
259,3617.175,3600.05,2.822831959,2.976682566,-1.342816788,-1.573177294,7103
260,3746.575,3733.05,2.232567657,2.014092856,0.397834275,0.215899919,7576
261,3634.175,3618.25,2.200054706,2.042561682,-1.114137745,-1.328356201,7255
262,3812.3,3778.55,3.344488809,3.24648204,1.281947807,0.82795265,7792
263,3791.75,3813.625,2.228544389,2.240458807,1.0055152,1.299771321,7753
264,3568.975,3532.15,1.301254619,1.330006509,-1.991189131,-2.486548292,7246
265,3544.725,3530.45,1.756741494,2.103398076,-2.317393059,-2.509416196,7127
266,3716.675,3683.175,2.080206359,2.430733849,-0.004371805,-0.455004036,7491
267,3680.8,3705.775,2.814354708,2.792105989,-0.486951843,-0.150995426,7593
268,3705.975,3658.35,3.051307557,2.890497624,-0.148305085,-0.788942696,7489
269,3622.15,3607.05,2.704549305,2.586178139,-1.275894539,-1.479015335,7231
270,3725.725,3700.825,3.850246203,3.749362307,0.117366156,-0.217581383,7574
271,3776.05,3766.675,2.600806196,2.239745086,0.794323379,0.668213613,7621
272,3713.05,3644.275,1.425731506,1.394148247,-0.053134248,-0.978275491,7577
273,3707.125,3667.525,3.21523105,2.963365235,-0.13283562,-0.665523271,7567
274,3692.275,3655,2.106560719,1.873084563,-0.332593489,-0.834005919,7480
275,3752.65,3708.175,2.470673111,2.109260778,0.479553403,-0.118711326,7620
276,3685.35,3660.125,2.906100041,2.757143309,-0.42574657,-0.765065913,7386
277,3797.925,3759.525,2.091639459,2.549522049,1.0885795,0.572033898,7614
278,3725.925,3721.325,1.968043145,1.937031611,0.120056497,0.058178639,7514
279,3825.675,3792.75,3.64855365,3.689265875,1.461864407,1.018966909,7646
280,3752.775,3711.925,3.488241404,3.896482818,0.481234867,-0.06826742,7557
281,3827.7,3786.825,2.108553407,2.215884817,1.489104116,0.939265537,7732
282,3734.4,3710.875,3.405507771,3.28146112,0.234059726,-0.082391714,7622
283,3795.2,3750.725,2.188840648,2.12035738,1.051923594,0.453658865,7739
284,3907.425,3899.25,1.392484897,1.143079725,2.561541566,2.45157385,7970
285,3767.35,3779.95,1.839318158,1.922529572,0.677293516,0.846785042,7672
286,3665.675,3671.35,1.428718926,1.47179166,-0.690408932,-0.614070487,7555
287,3746.5,3717.625,3.200986828,3.028613371,0.396825397,0.008407318,7547
288,3682.45,3660.1,3.481103431,2.164463273,-0.464756524,-0.765402206,7493
289,3772.75,3739.525,1.43677147,1.390240015,0.749932741,0.302999731,7728
290,3670.15,3664.45,2.691971342,2.235625538,-0.630212537,-0.706887275,7516
291,3933.625,3903.85,1.777085774,1.819716773,2.913976325,2.513451708,7959
292,3693.175,3642.175,2.759834107,2.53457478,-0.320486952,-1.006524079,7515
293,3674.8,3633.7,1.628115969,1.308781443,-0.567662093,-1.120527307,7430
294,3667.2,3641.325,1.276007082,1.246458063,-0.669895077,-1.017958031,7340
295,3484.35,3447.2,2.102678661,1.856159113,-3.129539952,-3.629270917,6962
296,3675.975,3656.425,3.819929121,3.733334052,-0.551856336,-0.814837234,7408
297,3798.825,3763.175,2.072359302,1.75886811,1.100686037,0.621132634,7617
298,3631.75,3587.675,2.844791194,2.785827124,-1.146758138,-1.739642185,7295
299,3816.55,3794.625,2.929195916,2.861883626,1.339117568,1.044188862,7724
300,3728.3,3731.05,2.614694093,2.677560564,0.152004305,0.188996503,7797
301,3750.625,3721,1.876010571,2.084735177,0.452313694,0.053806833,7529
302,3776.35,3738.175,2.717857768,2.511030924,0.798358892,0.284839925,7569
303,3655.975,3636.175,3.283454489,2.61858913,-0.820890503,-1.087234329,7484
304,3758.35,3737.95,2.587462737,1.405759108,0.556228141,0.28181329,7661
305,3695.35,3665.2,1.607768652,1.210677833,-0.291229486,-0.696798493,7527
306,3596.2,3589.825,1.384839593,0.899180797,-1.624966371,-1.710721012,7358
307,3683.1,3658.35,1.749595649,2.065887801,-0.456012914,-0.788942696,7445
308,3709.7,3689.15,2.017375308,1.995122825,-0.098197471,-0.374630078,7351
309,3799.5,3750.475,1.582369297,1.54179425,1.10976594,0.450295938,7651
310,3692,3675.4,3.084444273,2.75780009,-0.336292709,-0.559591068,7373
311,3679.35,3652.625,1.449996969,1.306200137,-0.50645682,-0.865953726,7541
312,3670.675,3681.55,2.40330633,1.991870448,-0.62315039,-0.476863062,7491
313,3693.7,3699.75,3.052886168,3.188109324,-0.313424805,-0.232041969,7670
314,3681.625,3640.3,1.810554686,1.744748968,-0.475854183,-1.031746032,7432
315,3508.5,3483.975,5.097359715,4.596703923,-2.804681195,-3.134584342,6991
316,3715.65,3706.55,3.860754615,2.998172064,-0.018159806,-0.140570352,7463
317,3813.3,3851.475,1.723364374,1.368049296,1.295399516,1.808918483,7937
